Pincode,Location,Hospital Name,Address
500030,"Yousufguda, Rahmath Nagar, AG Colony",Yashoda Hospital,"S.P. Road, Secunderabad, Hyderabad, Telangana 500003"
500032,"gachibowli, financial district","KIMS Hospitals, Gachibowli","7-56/19, Survey No. 40 46, Dargah Road LIG Chitrapuri Colony, Prashant Hills, Radhe Nagar, Gachibowli, Rai Durg, Telangana 500032"
500033,"Tolichowki, Toli Chowki Road, MD Lines","Apollo Hospitals, Jubilee Hills","Rd Number 72, opposite Bharatiya Vidya Bhavan School, Film Nagar, Hyderabad, Telangana 500033"
500035,"Narayanguda, YMCA, Himayatnagar,LB nagar",Care Hospitals,"Road No. 1, Banjara Hills, Hyderabad, Telangana 500034"
500076,"Nacharam, Mallapur,  Snehapuri Colony, HMT Nagar",Prasad Hospitals,"44-617/12, behind Telephone Exchange, IDA, Nacharam, Secunderabad, Telangana 500076"
500039,"Abids, Nampally, Gunfoundry",Nizam's Institute of Medical Sciences (NIMS),"Punjagutta, Hyderabad, Telangana 500082"
500040,"Ameerpet, SR Nagar, Mythrivanam",LifeSpring Maternity Hospital,"350/5&6, Moula Ali Kaman Rd, Vasanth Vihar Colony, Moula Ali, Secunderabad, Telangana 500040"
500044,"Nallakunta, adikmet",Anand Hospital,"H.No 1-9-277/32, Ramnagar Gundu Rd, Adikmet, Hyderabad, Telangana 500044"
500045,Yousufguda ,Anvitha Hospital,"8-3-231/A/516,517 A-Block, Sri Krishna Nagar, Yousufguda Check Post, Hyderabad, Telangana 500045"
500048,"Madhapur, Hitech City, Kavuri Hills",Human Touch Hospital,"Inner Ring Road, Fort View Colony, Upparpally, Hyderabad, Telangana 500048"
500052,"Masab Tank, Humayun Nagar, AC Guards",Niloufer Hospital,"Red Hills, Hyderabad, Telangana 500004"
500053,"Jubilee Hills, Kavuri Hills, CBI Colony",Medicover Hospital,"Behind Cyber Towers, In the Lane of IBIS Hotels, HUDA Techno Enclave, HITEC City, Hyderabad, Telangana 500081"
500058,"Erragadda, Bharat Nagar, ESIC Hospital",Apollo DRDO Hospital,"DMRL Cross Rd, Kanchan Bagh, Hyderabad, Telangana 500058"
500060,"Dilsukhnagar,Chaitanyapuri Colony SO",Anurag Ortho,"3-114, Hanuman Nagar, Chaitanya Puri, Dilsukhnagar, Hyderabad, Telangana 500060"
500062,"Dr. A.S. Rao Nagar SO, Ecil SO, Jai Jawan Colony SO, Kushaiguda BO",May Flower Hospital,"1-19-80/42, AS Rao Nagar Rd, Lakshmipuram Colony, Hyderabad, Telangana 500062"
500063,"Kondapur, Botanical Garden, Kothaguda",KIMS Hospital,"1-8-31/1, Minister Road, Secunderabad, Telangana 500003"
500064,"Hussainialam, Bahadurpura, Kishanbagh, Tadbun",Mohammedi Memorial Hospital,"Kishan Bagh Rd, Bahadurpura West, Hyderabad, Telangana 500064"
500068,"Champapet, Karmanghat, Balapur Road,Nagole, mansoorabad",Kamineni Hospitals,"Survey No.68, Mansoorabad Road, LB Nagar, Hyderabad, Telangana 500068"
500070,"Bachupally, Nizampet, Mallampet",Sri Sri Holistic®? Hospitals,"1-2, Nizampet Rd, Survey 37, Nagarjuna Homes, Nizampet, Hyderabad, Telangana 500090"
500092,"Uppal, Boduppal",Abhaya Multi-specialty Trust Hospital,"H.No 18 & 2p, Boduppal Rd, near AMBEDKAR STATUE, Boduppal, Hyderabad, Telangana 500092"
